id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Keegan;Mraz;Ocie_Barton@hotmail.com;naughty like deliberately;2023-12-07T03:13:51;12983;29019
2;Dashawn;Abernathy;Orland_McGlynn17@gmail.com;mercury bead;2023-12-07T00:10:48;6024;7658
3;Fredrick;Will;Giovanna89@yahoo.com;about yippee;2023-12-06T10:47:42;10875;12823
4;Maxime;Stanton;Earnest.Johnson@yahoo.com;eventually hush ick;2023-12-06T12:07:59;25787;30159
5;Kianna;Gorczany;Jennings.Johnson@yahoo.com;lovable;2023-12-06T07:33:28;4440;20245
6;Janis;Kiehn;Gudrun18@yahoo.com;phew;2023-12-06T11:38:52;26960;5123
7;Stanton;Roob-Bradtke;Lucie49@hotmail.com;youthful;2023-12-06T15:27:17;35;26285
8;Enid;Marks;Omer88@hotmail.com;boldly throughout;2023-12-06T06:31:55;18762;6845
9;Etha;Turcotte;Camryn_Ruecker35@hotmail.com;forenenst;2023-12-06T15:27:40;8632;17496
10;Alena;Ward;Lauren_Langworth@yahoo.com;brr;2023-12-06T22:49:51;5534;30736
