id;street_address;postal_code;city;state_province
1;onto so;platter;Frederickfort;although hm
2;that gadzooks whether;monthly brandish disclose;South Krystina;until viciously willfully
3;wherever hence hedgehog;beside bah;Fayville;unless whoever consequently
4;prohibition;carefully flamboyant reacquaint;Davie;collaborate irritably
5;grudge frilly kilogram;debtor ouch;West Valley City;shimmering
6;coruscate tail;comment;North Rick;gah
7;urgently;tuition;Port Reggieworth;acclaimed
8;ethical yet;ah;West Veronicachester;upliftingly ninja lambast
9;honorable unexpectedly;absent lest though;Kozeytown;but
10;sock across;fiercely yowza;Lorenton;briskly to
