id;key;first_name;last_name;team_role;exchange_allowed
1;29442;Natalie;Shanahan;lessen solidly;false
2;18000;Estel;Schmeler;can;true
3;14678;Bernhard;Cormier;boastfully boastfully stimulating;false
4;10808;Remington;Grady;mama;true
5;19586;Marley;Collier;aha even until;false
6;20523;Brennan;Hand;tool kindly boulder;true
7;9429;Frederique;Blanda;counsellor;false
8;25228;Wilfrid;Dietrich;though boohoo partner;false
9;25123;Lenny;Wisoky;flat adorable;true
10;32452;Maritza;Tromp;hash salty feisty;false
